authorization_code,tx_id,fecha_tx,gateway,card_type,card_last4,monto_bruto_gw,comision_gw,neto_gw,currency,estado_gw,batch_id,tx_id_base,es_duplicado,tipo_diferencia
AUTH376377,TXN-202412-0017-DUP,2024-12-24,Datafast,VISA,3577,42.47,1.49,38.65,USD,SETTLED,BATCH-5214,TXN-202412-0017,1,DUPLICADO_GATEWAY
AUTH677234,TXN-202408-0172-DUP,2024-08-19,Datafast,MASTERCARD,5579,402.36,14.08,366.15,USD,SETTLED,BATCH-5229,TXN-202408-0172,1,DUPLICADO_GATEWAY
AUTH636584,TXN-202407-0333-DUP,2024-07-12,Medianet,MASTERCARD,5008,66.18,2.12,60.42,USD,SETTLED,BATCH-5936,TXN-202407-0333,1,DUPLICADO_GATEWAY
AUTH564827,TXN-202412-0388-DUP,2024-12-17,Datafast,VISA,7026,6.6,0.23,6.0,USD,SETTLED,BATCH-9523,TXN-202412-0388,1,DUPLICADO_GATEWAY
AUTH530990,TXN-202409-0436-DUP,2024-09-01,Medianet,VISA,1119,154.99,4.96,141.51,USD,SETTLED,BATCH-5561,TXN-202409-0436,1,DUPLICADO_GATEWAY
AUTH315338,TXN-202411-0500-DUP,2024-11-17,Datafast,MASTERCARD,6040,45.88,1.61,41.75,USD,SETTLED,BATCH-5068,TXN-202411-0500,1,DUPLICADO_GATEWAY
AUTH650632,TXN-202409-0396-DUP,2024-09-12,PayPhone,AMEX,8196,811.91,30.85,736.4,USD,SETTLED,BATCH-8032,TXN-202409-0396,1,DUPLICADO_GATEWAY
AUTH123964,TXN-202409-0029-DUP,2024-09-26,PayPhone,MASTERCARD,7739,31.47,1.2,28.54,USD,SETTLED,BATCH-9882,TXN-202409-0029,1,DUPLICADO_GATEWAY
AUTH263110,TXN-202411-0146-DUP,2024-11-19,Medianet,MASTERCARD,6751,100.51,3.22,91.76,USD,SETTLED,BATCH-8127,TXN-202411-0146,1,DUPLICADO_GATEWAY
AUTH117714,TXN-202407-0231-DUP,2024-07-19,Datafast,VISA,2488,2655.28,92.93,2416.31,USD,SETTLED,BATCH-9311,TXN-202407-0231,1,DUPLICADO_GATEWAY
AUTH818534,TXN-202410-0302-DUP,2024-10-12,Medianet,MASTERCARD,2933,170.85,5.47,155.98,USD,SETTLED,BATCH-2850,TXN-202410-0302,1,DUPLICADO_GATEWAY
AUTH602253,TXN-202412-0211-DUP,2024-12-08,Medianet,MASTERCARD,9433,5.32,0.17,4.86,USD,SETTLED,BATCH-2902,TXN-202412-0211,1,DUPLICADO_GATEWAY
AUTH517955,TXN-202407-0143-DUP,2024-07-27,Datafast,VISA,7976,1589.71,55.64,1446.63,USD,SETTLED,BATCH-2218,TXN-202407-0143,1,DUPLICADO_GATEWAY
AUTH183124,TXN-202411-0040-DUP,2024-11-18,Datafast,VISA,2067,77.52,2.71,70.54,USD,SETTLED,BATCH-6064,TXN-202411-0040,1,DUPLICADO_GATEWAY
AUTH258269,TXN-202412-0445-DUP,2024-12-31,Medianet,MASTERCARD,6510,444.59,14.23,405.9,USD,SETTLED,BATCH-4646,TXN-202412-0445,1,DUPLICADO_GATEWAY
AUTH349346,TXN-202411-0403-DUP,2024-11-25,Datafast,VISA,7824,439.94,15.4,400.34,USD,SETTLED,BATCH-4617,TXN-202411-0403,1,DUPLICADO_GATEWAY
AUTH722516,TXN-202411-0492-DUP,2024-11-09,Medianet,MASTERCARD,5488,125.25,4.01,114.35,USD,SETTLED,BATCH-1759,TXN-202411-0492,1,DUPLICADO_GATEWAY
AUTH518537,TXN-202410-0264-DUP,2024-10-22,Datafast,MASTERCARD,1132,140.74,4.93,128.07,USD,SETTLED,BATCH-7980,TXN-202410-0264,1,DUPLICADO_GATEWAY
AUTH814351,TXN-202408-0482-DUP,2024-08-16,Medianet,AMEX,5669,30.51,0.98,27.85,USD,SETTLED,BATCH-5218,TXN-202408-0482,1,DUPLICADO_GATEWAY
AUTH214058,TXN-202409-0012-DUP,2024-09-28,PayPhone,MASTERCARD,2688,294.38,11.19,267.0,USD,SETTLED,BATCH-1398,TXN-202409-0012,1,DUPLICADO_GATEWAY
AUTH289170,TXN-202412-0198-DUP,2024-12-23,PayPhone,VISA,6061,393.02,14.93,356.47,USD,SETTLED,BATCH-9515,TXN-202412-0198,1,DUPLICADO_GATEWAY
AUTH220079,TXN-202409-0081-DUP,2024-09-29,Medianet,MASTERCARD,9109,16.83,0.54,15.36,USD,SETTLED,BATCH-1401,TXN-202409-0081,1,DUPLICADO_GATEWAY
AUTH762277,TXN-202407-0172-DUP,2024-07-06,Datafast,AMEX,6759,2194.03,76.79,1996.57,USD,SETTLED,BATCH-6250,TXN-202407-0172,1,DUPLICADO_GATEWAY
AUTH924549,TXN-202408-0058-DUP,2024-08-26,Datafast,VISA,4152,92.31,3.23,84.01,USD,SETTLED,BATCH-9186,TXN-202408-0058,1,DUPLICADO_GATEWAY
